Issue_Key,Issue_Type,Reporter,Summary,Category,Problem_Category,Impact,Urgency,Priority,Close_Code,Status,Assigned_To,Parent_Incident,Description_(Workaround),Date_Created,Resolution_time_(in sec),Date_Resolved,Resolution
INC-0088875,[System] Incident,IA Integration,XLX - Internal - Kindly perform health checks for DB side. For server IALPMSPLSQL26Â Â ,Inquiry / Help,User Request,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Perform Health check,2021-01-07 01:57,267960,2021-01-10 04:23,Done
INC-0089219,[System] Incident,Tracy Backwall,IA - Incident - Infolease 10 - debit letters are dishonor,Network,Network Issue,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Verify configuration and database connectivity. Check for error logs. Code fix and reprocess,2021-01-07 15:41,103801,2021-01-08 20:31,Done
INC-0092778,[System] Incident,IA Integration,IA - Server- SAFL-SQLPROD- Failed jobs,Software,Job Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-01-21 13:44,906747,2021-02-01 01:36,Done
INC-0094128,[System] Incident,Max Lolzberger,ICT Protege GX application does not work for all BSG team - we cannot load master key holders for safe,Inquiry / Help,Functionality Issue,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,INC0094492,Check user permission and grant necessary rights. Restart server if necessary. Roll back update if necessary. ,2021-01-25 12:39,1856131,2021-02-16 00:14,Done
INC-0094215,[System] Incident,IA Integration,IA - Server Issue - Cleanup on Safl-Backup2 server,Database,User Request,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Clear unecessary files or clear cache,2021-01-25 16:40,552124,2021-02-01 02:02,Done
INC-0094492,[System] Incident,Ronniel Finchliffe,IA - Protege Platform-Unworkable http://10.64.17.143:8050 (Web),Network,Network Unreacheable,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,No Parent Incident,Check the network connectivity and update web services/database as needed,2021-01-29 09:56,1521467,2021-02-16 00:33,Done
INC-0094533,[System] Incident,Daryl Barabas,IA - Software - ODBC Login Failed,Inquiry / Help,Credential Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check user permission and grant necessary rights,2021-01-29 10:46,812907,2021-02-07 20:34,Done
INC-0094546,[System] Incident,IA Vendor,IA - Protege Platform-Unworkable http://149.135.52.93:8030/ProtegeGXWebClient/login.php,Network,Accessibility Issue,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,INC0094492,Check the network connectivity and update web services/database as needed,2021-01-29 11:10,1516602,2021-02-16 00:26,Done
INC-0095144,[System] Incident,Johnny Lang,IQ Webservice,Service Issue,User Inquiry,Minor / Localized,Low,Low,Closed/Resolved by Caller,Closed,Unassigned,INC0095145,Ensure service is running. Restart service if necessary. Check and look for specific errors. Check and reconfigure  service settings if necessary.,2021-01-31 08:46,397850,2021-02-04 23:16,Done
INC-0097917,[System] Incident,XLX User,IA - Software - Perform Clean-up on SAFL-SQLPROD2 server,Request,User Request,Moderate / Limited,Low,Medium,Closed/Resolved by Caller,Closed,Unassigned,No Parent Incident,Clear unecessary files or clear cache,2021-02-11 14:48,710469,2021-02-19 20:09,Done
